10656
ATR-X syndrome	C538258
Puberty, Delayed	D011628
acute hepatitis-like illness	D056486
Vulvar Diseases	D014845
visual field defect	D014786
Poisoning	D011041
Multiple Sclerosis, Chronic Progressive	D020528
transplant glomerulopathy	D007674
cholestatic hepatitis	D002779
Hematoma, Epidural, Cranial	D006407
obstructive (P less than 0.05) and central apnoea	D020181
Facial Injuries	D005151
DEAFNESS, AUTOSOMAL RECESSIVE 91	613453
C3 GLOMERULOPATHY 3	614809
hyperkinesis	D006948
basal ganglia infarcts	D020520
arrhythmia	D001145
neurogenic diabetes insipidus	D018500
Acute Coronary Syndrome	D054058
meningioma	D008579
pain disorders	D013001
Glomus vagale tumors	C536827
Palmoplantar Keratoderma, Nonepidermolytic	C563422
Leukodystrophy, Globoid Cell	D007965
Charcot-Marie-Tooth disease, Type 4A, axonal form	C539595
tuberculosis of the lung or lymph node	D014397
Epilepsies, Partial	D004828
Metatropic dwarfism	C537356
LEFT VENTRICULAR NONCOMPACTION 1	604169
Dental Plaque	D003773
Tics	D020323
NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE VII	615548
Primary Myelofibrosis	D055728
Holocarboxylase Synthetase Deficiency	D028922
Lipoid congenital adrenal hyperplasia	C537027
motor and sensory impairment	D015417
Abnormal involuntary movements	D004409
Charcot-Marie-Tooth Disease, Dominant Intermediate B	C564703
hemolytic	D006461
Stomach Neoplasms	D013274
Haemodilution	D020141
pyrexia	D005334
Galloway Mowat syndrome	C537548
WARSAW BREAKAGE SYNDROME	613398
aggression	D001523
Cardiovascular dysfunction	D002318
behavioral deterioration	D002653
HETEROTAXY, VISCERAL, 4, AUTOSOMAL	613751
Chorea	D002819
IMMUNODEFICIENCY 11	615206
Sertoli Cell-Only Syndrome	D054331
juvenile rheumatoid arthritis	D001171
Rigid spine syndrome	C535683
Cecal Neoplasms	D002430
Renal function significantly deteriorated	D058186
Segawa syndrome, autosomal recessive	C537537
Liver Neoplasms, Experimental	D008114
Segmental glomerulosclerosis	C538457
involuntary eye-blinking movements	D020820
NEPHRONOPHTHISIS 15	614845
mitochondrial impairment	D028361
Nephrosclerosis	D009400
Chromosome 3, monosomy 3p25	C536807
Bartter syndrome, antenatal , type 2	C537651
Typhus, Endemic Flea-Borne	D014437
impairment of learning	D007859
Shwartzman Phenomenon	D012790
dehydration	D003681
Tomaculous neuropathy	C536965
Microcephalic osteodysplastic primordial dwarfism, type 1	C537577
Jensen syndrome	C537568
renal calculus	D007669
MICROCEPHALY 9, PRIMARY, AUTOSOMAL RECESSIVE	614852
Ciliary Dyskinesia, Primary, 10	C567287
Leukoencephalopathy with Brainstem and Spinal Cord Involvement and Lactate Elevation	C567009
Mammary Neoplasms, Experimental	D008325
Kartagener Syndrome	D007619
Hoyeraal Hreidarsson syndrome	C536068
MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION	617011
ocular pain	D058447
Neurological complications	D009422
CONOTRUNCAL HEART MALFORMATIONS	217095
Anxiety Disorders	D001008
Neural Tube Defects	D009436
Atrial thrombosis	D003328
intracranial vascular thrombosis	D020767
Cholecystitis, Acute	D041881
ATRIAL FIBRILLATION, FAMILIAL, 13	615377
Psychomotor Disorders	D011596
THAUVIN-ROBINET-FAIVRE SYNDROME	617107
spasmodic dysphonia	D055154
Liver disease	D008107
Tobacco Use Disorder	D014029
hemorrhagic strokes	D020300
paranoid	D010259
loss of pinprick sensation	D012678
PONTOCEREBELLAR HYPOPLASIA, TYPE 7	614969
Unconsciousness	D014474
coronary spasm	D003329
Hypertelorism	D006972
Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Recessive	C564926
skin reactions	D003875
Hyaluronidase Deficiency	C563209
microphthalmos	D008850
Atrial Fibrillation, Familial, 3	C563817
attention-deficit hyperactivity disorder	D001289
hepatic, neurologic and psychiatric disorders	D001523
cardiomyocyte degeneration	D009410
Singleton Merten syndrome	C537343
Bile Duct Neoplasms	D001650
NBIA2B	C565699
Van der Woude syndrome 2	C536529
type 2 diabetes	D003924
Mandibuloacral dysplasia with type B lipodystrophy	C535706
Molybdenum Cofactor Deficiency, Complementation Group C	C565374
PAs	D011471
hyperlipidemia	D006949
Phlebotomus Fever	D010217
Colonic Neoplasms	D003110
Xanthomatosis	D014973
Tachycardia, Ectopic Junctional	D013613
Charcot-Marie-Tooth disease, X-linked, 1	C535919
Ventricular Premature Complexes	D018879
Shoulder Pain	D020069
Leukemia, Radiation-Induced	D007953
N-acetyl glutamate synthetase deficiency	C536109
Hypotension	D007022
cerebral hypoxia	D002534
metastasis	D009362
Thymus Hyperplasia	D013952
Hypersensitivity myocarditis	D009205
Eye Abnormalities	D005124
Renal lesions	D051437
neurological and cardiovascular toxicity	D020258
Bacteremia	D016470
Fluorosis, Dental	D009050
Brachydactyly type C	C537093
NAIL DISORDER, NONSYNDROMIC CONGENITAL, 3	151600
Neuropathy, Distal Hereditary Motor, Type VIIA	C563562
Downbeat nystagmus	D009759
Arteriosclerosis	D001161
Diarrhea 3, Secretory Sodium, Congenital	C562576
granulocytopenia	D000380
Depressive Disorder, Major	D003865
non-insulin-dependent diabetes mellitus	D003924
ECTODERMAL DYSPLASIA 12, HYPOHIDROTIC/HAIR/TOOTH/NAIL TYPE	617337
Deafness, Autosomal Recessive 22	C564633
Adrenocortical Adenoma	D018246
Mitochondrial Phosphate Carrier Deficiency	C563665
Kabuki syndrome	C537705
Tracheal Diseases	D014133
OIH	D006930
St. Anthony's fire	D004881
prolonged QTc interval	D008133
Proteus Infections	D011512
SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 5	614370
Maturity-Onset Diabetes of the Young, Type 4	C563451
metastases	D009362
Kidney Diseases, Cystic	D052177
Nevus, Pigmented	D009508
Osler-rendu-weber syndrome 2	C537139
Hyperemia	D006940
GAND SYNDROME	615074
retinal detachment	D012163
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 21	615918
asthma	D001249
Macular Degeneration, Age-Related, 3	C563838
Acitretin embryopathy	C538169
Rectal Diseases	D012002
cardiac hypertrophy	D006332
Deafness, Autosomal Dominant 2B	C567214
Bartter Syndrome	D001477
FANCONI ANEMIA, COMPLEMENTATION GROUP U	617247
vasospasm	D014652
Acute liver failure	D017114
Mucormycosis	D009091
Lethal congenital contracture syndrome 1	C537194
Microphthalmia, Syndromic 5	C566441
Choreoathetosis-Spasticity, Episodic	C563401
HBV mono-infected	D006509
Gerodermia osteodysplastica	C537799
Diaper Rash	D003963
Retinoblastoma	D012175
insulin resistance	D007333
renal cancer	D007680
parkinsonian catalepsy	D002375
Acute psychosis	D011605
Transposition of Great Vessels	D014188
Fatigue	D005221
Infantile Epileptic-Dyskinetic Encephalopathy	C567924
structural lesions of the brain	D001927
Staphylococcal IE	D013203
colorectal, breast and head and neck cancers	D006258
Nephrotoxic	D007674
Neuropathy, hereditary motor and sensory, LOM type	C535716
cardiovascular disease	D002318
Dysautonomia, Familial	D004402
Fibrous myopathy	D009135
TRITANOPIA	190900
multicystic encephalomalacia	D004678
Muscle degeneration	D009135
impaired immediate free recall	D008569
Ageusia	D000370
acute T-lymphocytic leukemia	D054218
renal disturbance	D007674
Adenocarcinoma, Bronchiolo-Alveolar	D002282
Pure red cell aplasia	D012010
Leukemia, Plasma Cell	D007952
Stiff-Person Syndrome	D016750
cataracts	D002386
Conversion Disorder	D003291
cardiac symptoms	D009461
Transient neurologic symptoms	D009422
MITOCHONDRIAL DNA DEPLETION SYNDROME 15 (HEPATOCEREBRAL TYPE)	617156
Dyskinesia, Familial, with Facial Myokymia	C564676
Ichthyosis Vulgaris	D016112
IMMUNODEFICIENCY 30	614891
Neuroacanthocytosis	D054546
Noninsulin-dependent diabetes mellitus with deafness	C536246
Cystinosis	D003554
RETINITIS PIGMENTOSA 47	613758
Type B hepatitis	D006509
Ductus Arteriosus, Patent	D004374
MYD88 Deficiency	C567379
neurological disturbance	D009422
diabetic nephropathy	D003928
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8	614096
nephrotic	D009404
COUSIN SYNDROME	260660
extrapyramidal signs	D001480
Keloid	D007627
Connective Tissue Diseases	D003240
FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 5	616219
Psoas Abscess	D016659
aortic regurgitation	D001022
Hyperglycinemia, Nonketotic	D020158
Telomeric 22q13 Monosomy Syndrome	C536801
febrile neutropenia	D009503
MICROPHTHALMIA/COLOBOMA AND SKELETAL DYSPLASIA SYNDROME	615877
cardiac disease	D006331
Minicore Myopathy with External Ophthalmoplegia	C564969
Mesangial sclerosis, diffuse	C537346
Thoracic Neoplasms	D013899
Cone-Rod Dystrophy 3	C565827
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 54	617391
Erythema Chronicum Migrans	D015787
DEAFNESS, AUTOSOMAL RECESSIVE 36, WITH OR WITHOUT VESTIBULAR INVOLVEMENT;DFNB36 DEAFNESS, AUTOSOMAL DOMINANT, WITHOUT VESTIBULAR INVOLVEMENT,	609006
nephrosis	D009401
intracranial bleeding	D013345
Succinyl-CoA:3-oxoacid CoA transferase deficiency	C537527
COWDEN SYNDROME 7	616858
tumors	D009369
hippocampal damage	D001930
upper-airway obstruction	D000402
breast carcinoma	D001943
Absent radii and thrombocytopenia	C536940
Heart Failure, Systolic	D054143
Vitamin B 6 Deficiency	D026681
increases in blood pressure	D006973
Salmonella Infections, Animal	D012481
corticostriatal dysfunction	-1
MICROPHTHALMIA, ISOLATED 7	613704
diastolic dysfunction	-1
Phosphoglycerate Dehydrogenase Deficiency	C566618
DEAFNESS, AUTOSOMAL RECESSIVE 89	613916
GLYCOGEN STORAGE DISEASE XV	613507
ocular and orbital toxicity	D005128
respiratory syncytial virus infection	D018357
renal cell carcinoma	D002292
Epileptic Encephalopathy, Early Infantile, 3	C562695
choreatic dyskinesias	D002819
uremic	D006463
IMMUNODEFICIENCY 39	616345
ALZHEIMER DISEASE 18	615590
Craniosynostosis, Type 2	C565753
GLUTATHIONE SYNTHETASE DEFICIENCY OF ERYTHROCYTES, HEMOLYTIC ANEMIA DUE TO	231900
Fasciitis	D005208
Glycogen Storage Disease Type II	D006009
Anemia, Refractory, with Excess of Blasts	D000754
Bladder Exstrophy	D001746
AGC	D013274
Hepatitis, Chronic	D006521
Bronchitis	D001991
Snowflake vitreoretinal degeneration	C536677
Placental Insufficiency	D010927
Flavobacteriaceae Infections	D045826
Parasystole	D017574
SPASTIC PARAPLEGIA 76, AUTOSOMAL RECESSIVE	616907
Seckel syndrome 1	C537533
gastric hemorrhagic	D006471
Non-alcoholic Fatty Liver Disease	D065626
Eyelid Neoplasms	D005142
Retinal Necrosis Syndrome, Acute	D015882
Panuveitis	D015864
PPH	D006976
Lubs X-linked mental retardation syndrome	C537723
Spinal muscular atrophy, Jerash type	C535715
toxic neurodegenerative cascade	D009410
nystagmus	D009759
hemodilution	D020141
Deafness, Sensorineural, Autosomal-Mitochondrial Type	C565637
AL	D000686
WITTEVEEN-KOLK SYNDROME	613406
Prostatism	D053448
scleroderma renal crisis	D007674
PARKINSON DISEASE, LATE-ONSET	168600
Carcinoma, Lobular	D018275
Diabetes Mellitus, Experimental	D003921
hemosiderosis	D006486
PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA	113900
urticaria	D014581
EFAVIRENZ, POOR METABOLISM OF	614546
Immune System Diseases	D007154
acute liver insult	D017114
bronchial asthma	D001249
Deafness, Autosomal Recessive 44	C565716
Weill-Marchesani-Like Syndrome	C567710
Deafness, Autosomal Dominant 7	C563321
Spinocerebellar ataxia 19	C537198
CODAS syndrome	C536434
Tuberculosis, Lymph Node	D014388
NEMALINE MYOPATHY 10	616165
SUDDEN CARDIAC FAILURE, INFANTILE	617222
restricted right eye movement	D015835
Esophagitis	D004941
Thyrotoxicosis	D013971
Charcot-Marie-Tooth disease, Type 4B1	C535420
Gram-Negative Bacterial Infections	D016905
Chondrosarcoma, Mesenchymal	D018211
Atelosteogenesis, type 1	C535396
Heart Block	D006327
embryonal rhabdomyosarcoma	D018233
papular rosacea	D012393
Arterial Occlusive Diseases	D001157
Arginine-Glycine Amidinotransferase Deficiency	C567192
Persistent Mullerian duct syndrome	C536665
bladder calculi	D001744
Language Development Disorders	D007805
Pneumoperitoneum	D011027
ECTODERMAL DYSPLASIA/SHORT STATURE SYNDROME	616029
Consciousness Disorders	D003244
PCOS	D011085
tubulointerstial disease	D004194
Hepatitis, Alcoholic	D006519
LEUKODYSTROPHY, HYPOMYELINATING, 13	616881
Sarcoidosis	D012507
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 18	615578
Van der Woude syndrome	C536528
Tick-Borne Diseases	D017282
acquired immunodeficiency syndrome	D000163
hydronephrosis	D006869
Hypocalcemia	D006996
Appendiceal Neoplasms	D001063
Neurologic toxicities	D020258
infection with hemorrhagic fever viruses	D006482
Asthma, Nasal Polyps, And Aspirin Intolerance	C565935
Long Qt Syndrome 11	C567513
Anophthalmos with limb anomalies	C537769
ketosis	D007662
Acantholysis	D000051
Pulmonary Edema	D011654
chronic renal failure	D007676
anterior infarction	D056988
Oculocerebrorenal Syndrome	D009800
Seizures	D012640
HYPERPIGMENTATION WITH OR WITHOUT HYPOPIGMENTATION, FAMILIAL PROGRESSIVE	145250
CATARACT 43	616279
ABCD syndrome	C535334
artery aneurysms	D002532
decreases of TEOAEs amplitudes	-1
human immunodeficiency virus infection	D015658
haematological, renal, hepatic and gastrointestinal toxicities	D006402
Spastic Paraplegia 7, Autosomal Recessive	C564599
ECTODERMAL DYSPLASIA 9, HAIR/NAIL TYPE	614931
Immunoblastic Lymphadenopathy	D007119
ATAXIA, SENSORY, 1, AUTOSOMAL DOMINANT	608984
LISSENCEPHALY 6 WITH MICROCEPHALY	616212
Pityriasis Lichenoides	D017514
Meconium Aspiration Syndrome	D008471
photophobia	D020795
Brody myopathy	C536607
arterial occlusion	D001157
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIj	613489
Brain Abscess	D001922
sleep disturbances	D012893
Leukemia, Megakaryoblastic, of Down Syndrome	C566025
IMMUNODEFICIENCY 42	616622
Intestinal Obstruction	D007415
Limb-girdle muscular dystrophy, type 2B	C535899
Granuloma, Plasma Cell	D006104
hematological malignancies	D019337
Pseudohyperkalemia Cardiff	C535827
KERATOSIS PILARIS ATROPHICANS	604093
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 24	616239
Paraproteinemias	D010265
Syndrome	D013577
Substance Withdrawal Syndrome	D013375
osteoporosis	D010024
Protein-Losing Enteropathies	D011504
Intervertebral disc disease	C535531
Hearing Loss	D034381
Oliguria	D009846
GREENBERG DYSPLASIA	215140
Lameness, Animal	D007794
Auditory Perceptual Disorders	D001308
Pontocerebellar Hypoplasia Type 3	C548072
Miller-McKusick-Malvaux-Syndrome (3M Syndrome)	C535314
seizure	D012640
Headache Disorders, Primary	D051270
cerebral hypoperfusion	-1
Spinal muscular atrophy with respiratory distress 1	C536880
a loss of visual acuity	D014786
immunodeficient	C565469
haemorrhagic	D006470
CONE-ROD DYSTROPHY 9	612775
Glycogen Storage Disease XII	C562718
Cryptorchidism	D003456
Myeloperoxidase Deficiency	C562864
DEAFNESS, AUTOSOMAL RECESSIVE 26, MODIFIER OF	605429
Gingival Overgrowth	D019214
Epiphyseal dysplasia, multiple, 1	C535501
arrhythmic	D001145
Anterior Wall Myocardial Infarction	D056988
Sleep Apnea, Obstructive	D020181
BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 15	613418
Macular Degeneration, Age-Related, 9	C566958
renal and/or hepatic dysfunction	D008107
Iridogoniodysgenesis type1	C535535
CARDIAC CONDUCTION DISEASE WITH OR WITHOUT DILATED CARDIOMYOPATHY	616117
neuroinflammatory	D007249
Nephrosis	D009401
hyperactive	D006948
Spherocytosis, Hereditary	D013103
Heart Diseases	D006331
CATARACT 19, MULTIPLE TYPES	615277
sphincter of Oddi dyskinesia	D046628
Femur Head Necrosis	D005271
Arthropathy, Neurogenic	D001177
Mushroom Poisoning	D009145
SOS	D006504
Atypical Hemolytic Uremic Syndrome	D065766
ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2	606770
Dystonia 3, Torsion, X-Linked	C564048
Bacteroides Infections	D001442
Gastrinoma	D015408
Facial Nerve Diseases	D005155
Headache Disorders	D020773
Alstrom Syndrome	D056769
morning stiffness	-1
Leber Congenital Amaurosis 4	C565778
EPILEPSY, NOCTURNAL FRONTAL LOBE, 5	615005
Signs and Symptoms, Respiratory	D012818
Meningioma, familial	C537443
Leukemia, T-Cell	D015458
SPASTIC PARAPLEGIA 62, AUTOSOMAL RECESSIVE	615681
elastosis perforans serpiginosa	C536202
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 21	615833
GLAUCOMA 3, PRIMARY CONGENITAL, E	617272
CATARACT 13 WITH ADULT i PHENOTYPE	116700
Orofacial Cleft 5	C563843
Leukocyte Adhesion Deficiency, Type III	C567555
hypoxic	D000860
Localized scleroderma	D012594
Cataract, posterior polar, 4	C535344
Dermatitis, Exfoliative	D003873
Discitis	D015299
Jaundice, Neonatal	D007567
Drug-Related Side Effects and Adverse Reactions	D064420
Vomiting	D014839
inhibition of lactation	D007775
Generalised and focal seizures	D012640
Thrombophilia, Hereditary, Due To Protein S Deficiency, Autosomal Dominant	C567347
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 48	616269
Astrocytoma	D001254
myocardial degeneration	D009202
ATRIAL FIBRILLATION, FAMILIAL, 10	614022
optic nerve hypoplasia	C563492
liver disease	D008107
Mucolipidosis III Gamma	C565367
reductions in mean arterial blood pressure	D007022
spastic paraparesis	D020336
CILIARY DYSKINESIA, PRIMARY, 18	614874
psychosis	D011618
carcinoma of the peritoneum	D010534
Fibrosarcoma	D005354
SPERMATOGENIC FAILURE 11	615081
Agenesis of Corpus Callosum	D061085
Myeloma	D009101
MICROCEPHALY 17, PRIMARY, AUTOSOMAL RECESSIVE	617090
Sjogren's Syndrome	D012859
Cholestasis, Intrahepatic	D002780
hypotonia	D009123
Hyaloideoretinal degeneration of Wagner	C536075
idiopathic Parkinson's disease	D010300
Mental Retardation, X-Linked 94	C567479
mitochondrial structural and functional impairment	D028361
cognitive dysfunctions	D003072
facial inflammatory dermatoses	D005148
Glycogen Storage Disease IB	C562594
Leukoencephalopathy, Progressive Multifocal	D007968
Rapp-Hodgkin syndrome	C535289
Wounds, Nonpenetrating	D014949
Decreases in systolic blood pressure	D007022
USHER SYNDROME, TYPE IIIA	276902
schizoaffective disorder	D011618
necrotizing myopathy	D009135
Genee-Wiedemann syndrome	C537680
Facial Asymmetry	D005146
Methylcobalamin Deficiency, CblG Type	C565394
Esophageal Atresia	D004933
cerebral haemorrhages	D002543
Myopathy, Mitochondrial, Lethal Infantile	C564017
hypoplastic left heart syndrome	D018636
Cardio-Renal Syndrome	D059347
haemolytic anaemia	D000743
osteomyelitis	D010019
bipolar II	D001714
Tuberculosis, Pleural	D014396
Frasier Syndrome	D052159
toxic dermatitis	D003875
Transposition of the Great Arteries, Dextro-Looped 1	C563853
Necrosis	D009336
Embolism and Thrombosis	D016769
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iu	615042
primary biliary cirrhosis	D008105
polyuric	D011141
hypersensitivity myocarditis	D009205
Condylomata Acuminata	D003218
metabolic alkalosis	D000471
auditory hallucinations	D006212
head and neck cancers	D006258
hypertrophic hearts	D006332
Hyperparathyroidism	D006961
Osteoarthropathy, Primary Hypertrophic	D010004
Blepharophimosis	D016569
Azoospermia	D053713
Spastic paraplegia 9, autosomal dominant	C536868
forestomach carcinogenesis	D013274
NEPHROTIC SYNDROME, TYPE 7	615008
Noonan Syndrome 4	C548082
Abortion, Habitual	D000026
Preterm Premature Rupture of the Membranes	C563032
Pallister-Hall Syndrome	D054975
arteriovenous malformations	D001165
Congenital atransferrinemia	C538259
blood coagulation	D001778
CATARACT 46, JUVENILE-ONSET, WITH OR WITHOUT ARRHYTHMIC CARDIOMYOPATHY	212500
IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 2	614069
Takotsubo syndrome	D054549
frontal lobe syndrome	D001927
Marijuana Abuse	D002189
Spinal Curvatures	D013121
Dyskeratosis Congenita, Autosomal Recessive	C565611
myoclonic jerks	D009207
Leukemia, Prolymphocytic, T-Cell	D015461
Bethlem myopathy	C535436
Foreign-Body Reaction	D005549
Asphyxiating Thoracic Dystrophy 2	C566982
Hyperparathyroidism, Primary	D049950
bile duct destruction	D001649
Bardet-Biedl Syndrome 12	C565921
Wernicke-Korsakoff syndrome	D020915
PANCREATIC LIPASE DEFICIENCY	614338
Bruxism	D002012
Cardiomyopathy, Alcoholic	D002310
Melanoma-Pancreatic Cancer Syndrome	C563985
Ptosis, Hereditary Congenital 1	C566737
Diarrhea 4, Malabsorptive, Congenital	C563673
repetitive behaviors	D001523
Urination Disorders	D014555
Thyroiditis, Autoimmune	D013967
Deafness, Autosomal Dominant 23	C565357
Depressed mood	D003866
Mastocytosis, Cutaneous	D034701
progressive supranuclear palsy	D013494
Degenerating myelinated fibers	D009410
Apraxias	D001072
Polyhydramnios	D006831
Rubinstein-Taybi Syndrome	D012415
Visual and auditory neurotoxicity	D006311
scotoma	D012607
Orofaciodigital syndrome type1	C537134
deterioration of LV systolic and diastolic performance	D018487
Cholecystolithiasis	D041761
Osteogenesis imperfecta, type 3	C536044
Cerebellar Ataxia	D002524
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 10	614702
ALCOHOL SENSITIVITY, ACUTE	610251
Spastic paraplegia 2, X-linked	C536857
NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IC	613640
MAHA	D000743
BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY	614923
viral hepatitis	D006525
Carcinoma, Adenosquamous	D018196
Bloom Syndrome	D001816
Paresthesia	D010292
Hirschsprung Disease, Cardiac Defects, and Autonomic Dysfunction	C563939
Myasthenia Gravis, Autoimmune, Experimental	D020720
CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE E	614455
Fanconi Anemia, Complementation Group D1	C563980
Water-Electrolyte Imbalance	D014883
Sarcoma, Experimental	D012513
Polyglucosan Body Disease, Adult Form	C564878
cocaine or amphetamine abuse	D019969
Macular Edema	D008269
Dyskinesia, Drug-Induced	D004409
SPASTIC PARAPLEGIA 77, AUTOSOMAL RECESSIVE	617046
MIRROR MOVEMENTS 1	157600
Coronaviridae Infections	D003333
TS	D054549
Autism Spectrum Disorder	D000067877
weight loss	D015431
Plaque, Amyloid	D058225
Granuloma, Pyogenic	D017789
Labyrinth Diseases	D007759
itching	D011537
Neuroinflammation	D007249
kidney disease	D007674
Basal ganglia disease, biotin-responsive	C537658
HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 4	275100
Hyperuricemia	D033461
Marshall-Smith syndrome	C536026
psychotic disorder	D011618
bile duct injury	D001649
Senior-Loken Syndrome 5	C563763
Hartnup Disease	D006250
Post-Dural Puncture Headache	D051299
Insulinoma	D007340
Malformations of Cortical Development	D054220
PARAGANGLIOMAS 5	614165
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 60	617432
Panniculitis, Nodular Nonsuppurative	D010201
diabetic autonomic neuropathy	D003929
Alopecia Areata	D000506
haematological, renal, hepatic and gastrointestinal toxicities	D056486
antisocial personality disorder	D000987
Phantom Limb	D010591
Combined Cellular And Humoral Immune Defects With Granulomas	C567115
Acro-Osteolysis	D030981
GLAUCOMA, NORMAL TENSION, SUSCEPTIBILITY TO	606657
mantle cell lymphoma	D020522
Pregnancy Complications	D011248
CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 7	613690
Fecal Impaction	D005244
Pseudovaginal Perineoscrotal Hypospadias	C535830
COMPLEMENT FACTOR B DEFICIENCY	615561
anxious behaviour	D001008
cognitive and affective dysfunction	D003072
Glycogen Storage Disease IXB	C563008
neuropathies	D009422
Paralysis	D010243
METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE	614857
capillary leak syndrome	D019559
Inherited Peripheral Neuropathy	C548028
Loeys-Dietz Syndrome	D055947
Eiken Skeletal Dysplasia	C564010
Bleeding	D006470
Neutrophil Chemotactic Response, Abnormal	C563515
SPASTIC PARAPLEGIA 78, AUTOSOMAL RECESSIVE	617225
Adenoma	D000236
CILIARY DYSKINESIA, PRIMARY, 36, X-LINKED	300991
Soft Tissue Injuries	D017695
oliguria	D009846
Paraganglioma, Extra-Adrenal	D010236
TUBULOINTERSTITIAL KIDNEY DISEASE, AUTOSOMAL DOMINANT, 5	617056
IMMUNOGLOBULIN KAPPA LIGHT CHAIN DEFICIENCY	614102
Myopathy with lactic acidosis and sideroblastic anemia	C536101
lung cancer	D008175
tubular lesions	D007674
Pelger-Huet Anomaly	D010381
cardiotoxity	D066126
Aortic Valve Insufficiency	D001022
Ureteric obstruction	D014517
Dihydropyrimidine Dehydrogenase Deficiency	D054067
myeloencephalopathy	D001927
Diarrhea	D003967
Endplate Acetylcholinesterase Deficiency	C566415
Abnormal movements	D004409
hallucinosis	D001523
Coloboma	D003103
hemoptysis	D006469
Dementia, Vascular	D015140
Neuroectodermal Tumors, Primitive, Peripheral	D018241
Multiple Organ Failure	D009102
Prostate Cancer, Hereditary, 9	C567031
Fibromyalgia	D005356
Optic Atrophy, Autosomal Dominant	D029241
Cerebellar and oculomotor dysfunction	D002526
depressions	D003866
Asthma, Occupational	D059366
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 37	616981
Status epilepticus	D013226
Neurilemmoma	D009442
depressive symptoms	D003866
Wounds, Gunshot	D014948
Duane Retraction Syndrome	D004370
Mediastinal Cyst	D008476
rudimentary left uterine cornu	-1
Cardiomyopathy, Familial Hypertrophic, 8	C563866
Stickler syndrome, type 2	C537493
PREMATURE OVARIAN FAILURE 13	617442
oral candidiasis	D002180
Farber Lipogranulomatosis	D055577
Carcinoma, Intraductal, Noninfiltrating	D002285
NEURODEVELOPMENTAL DISORDER WITH SPASTIC DIPLEGIA AND VISUAL DEFECTS	615075
non-small-cell lung cancer	D002289
neuropsychiatric disorders	D001523
Cerebral Amyloid Angiopathy, Familial	D028243
Bradycardia	D001919
AUTOIMMUNE DISEASE, MULTISYSTEM, INFANTILE-ONSET, 1	615952
Keratosis Follicularis Spinulosa Decalvans, X-Linked	C536159
Robinow Sorauf syndrome	C537183
Cataract, Autosomal Recessive Congenital 3	C567835
Liver Failure, Acute	D017114
chest pain	D002637
hepatitis B	D006509
proarrhythmia	-1
Snoring	D012913
Strabismus	D013285
Neoplasm Invasiveness	D009361
Multiple Sulfatase Deficiency Disease	D052517
Encephalitis	D004660
Zygomycosis	D020096
conduction disorder	D019955
FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 4	616439
Currarino triad	C536221
Nephrotic syndrome, idiopathic, steroid-resistant	C536404
Peters anomaly	C537884
2-Methylbutyryl-CoA Dehydrogenase Deficiency	C566487
PLASMODIUM FALCIPARUM BLOOD INFECTION LEVEL	248310
Fetal Alcohol Spectrum Disorders	D063647
Fractures, Bone	D050723
Adenomatous Polyps	D018256
extensive hepatocellular necrosis	D047508
BRITTLE CORNEA SYNDROME 2	614170
Acquired Hyperostosis Syndrome	D020083
Oligohydramnios	D016104
Hernia, Umbilical	D006554
Cerebellar Ataxia and Hypogonadotropic Hypogonadism	C565870
MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (HEPATOCEREBRAL TYPE)	251880
Persistent Fetal Circulation Syndrome	D010547
Cushing's symphalangism	C536223
neuronal loss	D009410
Blast Crisis	D001752
